Designator,Footprint,Quantity,Value,LCSC Part #
"5V1, GND1, RX1, TX1",TestPoint_Pad_2.5x2.5mm,4,Conn_01x01_Female,
C1,0402,1,25V 1uF,
"C10, C5, C9",0402,3,100nF,
C11,0402,1,1uF 25v,C52923
C12,0402,1,1uF,C52923
C13,0402,1,2.2uF,C52923
"C14, C15, C16, C20",0402,4,1.2pF,C327292
"C17, C19",0402,2,10pF,C32949
C18,0402,1,100nF,C1525
C2,0402,1,"470nF, 10V",C47339
C3,0402,1,10nF,C15195
C4,0402,1,10uF,
"C6, C7",0402,2,10pF,
C8,0402,1,10nF,
"CN1, CN2",U.FL_Hirose_U.FL-R-SMT-1_Vertical,2,Conn_Coaxial,C88374
D1,0603,1,LED,C2286
L1,0805,1,15u,C486333
"L2, L3",0402,2,3n,C269824
LDO1,SOT-223-3_TabPin2,1,AMS1117,
"R1, R2, R3, R4",0402,4,10k,
R5,0402,1,3.3k,C25890
R6,0402,1,12k,C25752
R7,0402,1,2.2k,C25879
R8,0402,1,1.2k,C25862
R9,0402,1,100k,C25741
SW1,SW_SPST_B3U-1000P-B,1,SW_Push,
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,ESP8285,
U2,XCVR_SX1280IMLTRT,1,SX1280IMLTRT,
U3,SE2431L_SKY,1,SE2431L-R,
U4,RF_3024A1_TDK,1,DEA142450BT-3024A1,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,26Mhz,
Y2,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,"52Mhz, 8pF",C781783
