Designator,Mid X,Mid Y,Rotation,Layer
C1,140.0,-131.78,270.0,top
C10,150.6,-126.6,90.0,top
C11,138.0,-129.7,270.0,top
C12,131.7,-118.5,270.0,top
C13,131.2,-116.0,180.0,top
C14,149.1,-121.9,270.0,top
C15,148.9,-123.8,90.0,top
C16,150.1,-120.3,90.0,top
C17,146.2,-118.4,180.0,top
C18,148.18,-119.0,0.0,top
C19,154.3,-127.9,0.0,top
C2,154.0,-131.1,0.0,top
C20,152.1,-123.8,90.0,top
C3,153.1,-130.0,180.0,top
C4,134.5,-129.2,90.0,top
C5,135.5,-128.3,270.0,top
C6,130.5,-126.5,90.0,top
C7,132.4,-127.4,0.0,top
C8,143.8,-130.3,270.0,top
C9,154.5,-129.4,270.0,top
CN1,154.6,-124.7,0.0,top
CN2,153.3,-119.5,0.0,top
D1,140.0,-129.6,0.0,top
L1,152.3,-127.7,90.0,top
L2,150.1,-122.2,90.0,top
L3,150.715,-123.8,0.0,top
LDO1,136.6,-116.0,180.0,top
R1,144.3,-132.3,180.0,top
R2,138.51,-128.3,0.0,top
R3,140.8,-120.3,0.0,top
R4,142.5,-129.6,270.0,top
R5,140.39,-128.3,180.0,top
R6,134.4,-126.3,270.0,top
R7,143.7,-119.2,90.0,top
R8,142.8,-121.9,180.0,top
R9,142.6,-120.4,270.0,top
SW1,146.125,-115.1,90.0,top
U1,138.1375,-124.55,180.0,top
U2,147.2,-128.7375,90.0,top
U3,146.0,-122.2,0.0,top
U4,143.5154,-125.8,90.0,top
Y1,132.35,-125.35,270.0,top
Y2,151.4,-131.95,0.0,top
